Original_text,Attack_text
"I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is red, itchy, and covered in dry, scaly patches.","I have been experiencing a reddened skin on my arms, legs, and torso for the past few weeks. It is pruritic and covered in flaky patches."
"My skin has been peeling, especially on my knees, elbows, and scalp. This peeling is often accompanied by a burning or stinging sensation.","My skin has been exfoliating, especially on my knees, elbows, and scalp. This exfoliation is often accompanied by a burning feeling or burning."
"I have been experiencing joint pain in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints.","I have been experiencing Finger pain, Wrist pain, and Knee pain. The pain is often Soreness and Pulsating, and it aggravates when I move my joints."
"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them.","There is a silvery sheen on my skin, especially localised on my lower back and scalp. This sheen is made up of dandruff that flakes off easily when I scratch them."
"My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms.","'My nails have nail pitting, and they often feel swollen and sore to the touch. Even there are skin irritations on my arms.'"
"I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is red, itchy, and covered in dry, scaly patches.","I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is Inflammation, Pruritus, and covered in Flaky patches."
"My skin has been peeling, especially on my knees, elbows, and scalp. This peeling is often accompanied by a burning or stinging sensation.","My skin has been desquamating, especially on my knees, elbows, and scalp. This desquamation is often accompanied by a stinging or burning sensation."
"I have been experiencing joint pain in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints.","""I have been experiencing Arthritis in my fingers, Wrist pain, and Knee pain. The pain is often Pulsating, and it exacerbates with joint movement."""
"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them.","There is a shimmer on my skin, especially on my ache and scalp. This shimmer is made up of dandruff that flakes off easily when I scratch them. I also experience pruritus in these areas."
"My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms.","My nails have grooves in them, and they often feel painful and tender to the touch. Even there are skin irritations on my arms."
The skin on my palms and soles is thickened and has deep cracks. These cracks are painful and bleed easily.,The calluses on my palms and soles have fissures that are causing fractures and easily bleeding fissures.
