Original_text,Attack_text
"I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is red, itchy, and covered in dry, scaly patches.","I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is crimson, scratchy, and flaky."
"My skin has been peeling, especially on my knees, elbows, and scalp. This peeling is often accompanied by a burning or stinging sensation.","My skin has been desquamating, especially on my knees, elbows, and scalp. This desquamation is often accompanied by a blaze or burning sensation."
"I have been experiencing joint pain in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints.","I have been experiencing Pain in the fingers, Wrist pain, and Knee pain. The pain is often ""Pounding pain"" and aggravated by joint movement."
"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them.","There is a silver discoloration on my skin, especially focused on my lower back and scalp. This discoloration is scaly and peels off easily when I scratch it."
"My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms.","My nails have nail pitting, and they often feel swelling and sensitive to the touch. Even there are skin irritation on my arms."
The skin on my palms and soles is thickened and has deep cracks. These cracks are painful and bleed easily.,The skin on my palms and soles is callused and has fissures. These fissures are splits and epistaxis easily.
"The skin around my mouth, nose, and eyes is red and inflamed. It is often itchy and uncomfortable. There is a noticeable inflammation in my nails.","The skin erythema, pruritus around my mouth, nose, and eyes is often uncomfortable. There is noticeable nail inflammation."
My skin is very sensitive and reacts easily to changes in temperature or humidity. I often have to be careful about what products I use on my skin.,My skin is very thermosensitive and sensitive to humidity. I often have to be careful about sensitivity to skin products.
"I have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back. Also, I face severe joint pain and skin rashes.","I have noticed a shedding of skin at different parts of my body, mainly arms, legs and back. Also, I face excruciating joint pain and dermatitis."
"The skin on my genitals is red and inflamed. It is often itchy, burning, and uncomfortable. There are rashes on different parts of the body too.","The skin on my genitals is irritated and warm. It is often pruritis, warmth, and uneasiness. There are skin eruptions on different parts of the body too."
"I have experienced fatigue and a general feeling of malaise. I often feel tired and have a lack of energy, even after a good night's sleep.","I have experienced tiredness and a general feeling of unease. I often feel exhausted and have a fatigue, even after a good night's sleep."
"The rash on my skin has spread to other parts of my body, including my chest and abdomen. It is itchy and uncomfortable, and it is often worse at night. I am also facing skin peeling.","The skin eruption has spread to other parts of my body, including my chest and abdomen. It is irritated and uncomfortable, and it is often nocturnal. I am also facing desquamation."
The rash on my skin is worse in the winter months when the air is dry. I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated.,"""The rash on my skin is exacerbated in the winter months when the air is dehydrated. I find that I have to dryness more frequently and use ""dry air"" to keep my skin hydrated."""
"I have experienced difficulty sleeping due to the itching and discomfort caused by the rash. There are small dents in my nails, which is really concerning.","I have experienced insomnia due to the itching and discomfort caused by the rash. There are Beau's lines in my nails, which is really concerning."
"My skin is prone to infections due to dry, flaky patches. I am experiencing a strong pain in my joints. The skin on my knees and elbows is starting to peel off.","My skin is susceptible to infections due to dry, flaky patches. I am experiencing arthralgia in my joints. The skin on my knees and elbows is starting to exfoliate."
"I am starting to have rashes on my skin. The rash often bleeds when I scratch or rub it. Moreover, I have noticed small dents in my nails.","I am starting to have skin eruptions. The skin irritation often bleeds when I scratch or rub it. Moreover, I have noticed pitting in my nails."
"I have noticed that my skin has become more sensitive than it used to be. There is a silver like dusting on my skin, especially on my back and elbows.","I have noticed that my skin has developed heightened sensitivity. There is a silver rash on my skin, especially focused on posterior and joints."
"I am worried about the constant peeling of the skin on my palm, elbow and knee. I have developed rashes on my arms, which itch if I touch them. All of these are making my life quite discomforting and miserable.","I am worried about the exfoliation of the skin on my palm, elbow, and knee. I have developed a skin eruption on my arms, which causes pruritus if I touch them. All of these are making my life quite discomforting and miserable."
"There is strange pain in my joints. Also, I have noticed strange peeling of skin in different parts of my body. I am afraid there is something wrong going on with my body.","There is joint pain. Also, I have noticed exfoliation of skin in different parts of my body. I am afraid there is something wrong going on with my body."
"My nails have small dents on them. Even my joints have started to pain severely. There is a silver like dusting on my skin, particularly in my back.","""I have indentations on my nails. Even my joints have started to pain agonizingly. There is a silvery discoloration on my skin, particularly on my back."""
"The rashes on my skin are not healing. Moreover, I have noticed a sudden peeling of the skin, especially the skin on my elbows and knees. I am really worried about this.","The non-healing skin eruptions are concerning, and I have also noticed sudden skin shedding, particularly on my elbows and knees. I am really worried about this."
"For the past few weeks, I've had a skin rash on my arms, legs, and chest. It's red and irritating, with dry, scaly spots. I have a strange pain in my joints too.","For the past few weeks, I've had dermatitis on my arms, legs, and chest. It's inflamed and patchy, with unusual discomfort in my joints."
"My skin is peeling, particularly on my knees, elbows, and scalp. This peeling is frequently accompanied by a stinging or burning feeling.","""My skin is shedding, especially on my joints, and scalp. This shedding is frequently accompanied by irritation."""
"I'm having joint discomfort in my fingers, wrists, and knees. The pain is frequently aching and throbbing, and it worsens when I move my joints.","I'm having Finger pain, Wrist pain, and Knee pain. The pain is frequently sore and pulsating, and it worsens when I move my joints."
"My skin has a silvery film, particularly on my back, arms and scalp. This dusting is composed of tiny scales that easily peel off when scratched.","My skin has a shiny film, itching on my back, arms, and scalp. This dusting is composed of minuscule flakes that are flaky."
