Original_text,Attack_text
"I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is red, itchy, and covered in dry, scaly patches.","I have been experiencing an erythematous rash on my arms, legs, and torso for the past few weeks. It is itchy and covered in dry, scaly patches."
"My skin has been peeling, especially on my knees, elbows, and scalp. This peeling is often accompanied by a burning or stinging sensation.","My skin has been desquamating, especially on my knees, elbows, and scalp. This desquamation is often accompanied by a burning or stinging sensation."
"I have been experiencing joint pain in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints.","I have been experiencing arthralgia in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints."
"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them.","There is an Argyria on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them."
"My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms.","My nails exhibit pitting, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms."
The skin on my palms and soles is thickened and has deep cracks. These cracks are painful and bleed easily.,The skin on my palms and soles is hyperkeratotic and has deep cracks. These cracks are painful and bleed easily.
"The skin around my mouth, nose, and eyes is red and inflamed. It is often itchy and uncomfortable. There is a noticeable inflammation in my nails.",The eczema is often itchy and uncomfortable. There is a noticeable inflammation in my nails.
My skin is very sensitive and reacts easily to changes in temperature or humidity. I often have to be careful about what products I use on my skin.,'My skin is very sensitive and reacts easily to changes in temperature or humidity. I often have to be careful about what products I use on my skin.'
"I have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back. Also, I face severe joint pain and skin rashes.","I have noticed a sudden desquamation at different parts of my body, mainly arms, legs and back. Also, I face severe joint pain and skin rashes."
"The skin on my genitals is red and inflamed. It is often itchy, burning, and uncomfortable. There are rashes on different parts of the body too.","The irritated skin on my genitals is often itchy, burning, and uncomfortable. There are rashes on different parts of the body too."
"I have experienced fatigue and a general feeling of malaise. I often feel tired and have a lack of energy, even after a good night's sleep.","I have experienced tiredness and a general feeling of malaise. I often feel tired and have a lack of energy, even after a good night's sleep."
"The rash on my skin has spread to other parts of my body, including my chest and abdomen. It is itchy and uncomfortable, and it is often worse at night. I am also facing skin peeling.","The dissemination of the rash on my skin has spread to other parts of my body, including my chest and abdomen. It is itchy and uncomfortable, and it is often worse at night. I am also facing skin peeling."
The rash on my skin is worse in the winter months when the air is dry. I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated.,"The exacerbated rash in colder months is a challenge for me, as I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated."
"I have experienced difficulty sleeping due to the itching and discomfort caused by the rash. There are small dents in my nails, which is really concerning.","I have experienced insomnia due to the itching and discomfort caused by the rash. There are small dents in my nails, which is really concerning."
"My skin is prone to infections due to dry, flaky patches. I am experiencing a strong pain in my joints. The skin on my knees and elbows is starting to peel off.",My skin is prone to eczema. I am experiencing a strong pain in my joints. The skin on my knees and elbows is starting to peel off.
"I am starting to have rashes on my skin. The rash often bleeds when I scratch or rub it. Moreover, I have noticed small dents in my nails.","I am starting to have skin lesions. The lesions often bleed when I scratch or rub them. Moreover, I have noticed small dents in my nails."
"I have noticed that my skin has become more sensitive than it used to be. There is a silver like dusting on my skin, especially on my back and elbows.","I have noticed that my skin sensitivity has increased, and there is a silver-like dusting on my skin, especially on my back and elbows."
"I am worried about the constant peeling of the skin on my palm, elbow and knee. I have developed rashes on my arms, which itch if I touch them. All of these are making my life quite discomforting and miserable.","I am worried about the exfoliation of the skin on my palm, elbow, and knee. I have developed rashes on my arms, which itch if I touch them. All of these are making my life quite discomforting and miserable."
"There is strange pain in my joints. Also, I have noticed strange peeling of skin in different parts of my body. I am afraid there is something wrong going on with my body.","There is joint discomfort. Also, I have noticed strange peeling of skin in different parts of my body. I am afraid there is something wrong going on with my body."
"My nails have small dents on them. Even my joints have started to pain severely. There is a silver like dusting on my skin, particularly in my back.","My nails have pitting on them. Even my joints have started to pain severely. There is a silver like dusting on my skin, particularly in my back."
"The rashes on my skin are not healing. Moreover, I have noticed a sudden peeling of the skin, especially the skin on my elbows and knees. I am really worried about this.","The persistent skin irritation on my skin is not healing. Moreover, I have noticed a sudden peeling of the skin, especially the skin on my elbows and knees. I am really worried about this."
"For the past few weeks, I've had a skin rash on my arms, legs, and chest. It's red and irritating, with dry, scaly spots. I have a strange pain in my joints too.","For the past few weeks, I've had an eruption on my arms, legs, and chest. It's red and irritating, with dry, scaly spots. I have a strange pain in my joints too."
"My skin is peeling, particularly on my knees, elbows, and scalp. This peeling is frequently accompanied by a stinging or burning feeling.","My skin is exfoliating, particularly on my knees, elbows, and scalp. This exfoliation is frequently accompanied by a stinging or burning feeling."
"I'm having joint discomfort in my fingers, wrists, and knees. The pain is frequently aching and throbbing, and it worsens when I move my joints.","I'm having joint pain in my fingers, wrists, and knees. The pain is frequently aching and throbbing, and it worsens when I move my joints."
"My skin has a silvery film, particularly on my back, arms and scalp. This dusting is composed of tiny scales that easily peel off when scratched.","'My skin has a silvery sheen, particularly on my back, arms and scalp. This dusting is composed of tiny scales that easily peel off when scratched.'"
"I have red and inflammatory skin around my mouth, nose, and eyes. It is frequently irritating and unpleasant. Recently, it has got very painful.","I have erythema around my mouth, nose, and eyes. It is frequently irritating and unpleasant. Recently, it has got very painful."
My skin is extremely sensitive and quickly irritated by changes in temperature or humidity. My nails have developed dents on them. I am worried about this sudden change.,My skin is extremely sensitive and quickly irritated by changes in temperature or humidity. My nails have developed dents on them. I am worried about this sudden change.
"I've seen a sudden peeling of skin on various regions of my body, mostly my arms, legs, and back. In addition, I have significant joint pain and skin rashes. The rash is spreading to different parts of my body.","I've experienced sudden exfoliation of skin on various regions of my body, mostly my arms, legs, and back. In addition, I have significant joint pain and skin rashes. The rash is spreading to different parts of my body."
"My genital skin is red and irritated. It is frequently irritating, burning, and unpleasant. There are also rashes in various places of the body. Also, I have a strange pain in my joints.","My inflamed genital skin is frequently irritating, burning, and unpleasant. There are also rashes in various places of the body. Also, I have a strange pain in my joints."
"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. There is a noticeable inflammation in my nails.","I've had trouble sleeping because of the pruritus and pain produced by the rash. My nails have little dents, which is really alarming. There is a noticeable inflammation in my nails."
"Because of dry, flaky areas on my skin, I am prone to infections. My joints are in excruciating agony. The skin on my knees and elbows is beginning to flake.","Because of eczema, I am prone to infections. My joints are in excruciating agony. The skin on my knees and elbows is beginning to flake."
"My skin is breaking out in rashes. When I scratch or rub the rash, it frequently bleeds. In addition, I've observed little dents in my nails. There is a noticeable inflammation in my nails.","My skin has dermatitis which is breaking out in rashes. When I scratch or rub the rash, it frequently bleeds. In addition, I've observed little dents in my nails. There is a noticeable inflammation in my nails."
"I've observed that my skin is more sensitive now than it used to be. My skin has a silvery film, especially on my back and elbows.","I've observed that my skin is more sensitive now than it used to be. My skin has a silvery film, especially on my back and elbows."
"My palms and soles have grown and developed severe fissures. These cracks are unpleasant and frequently bleed. Also, the skin is starting to peel off.","My palms and soles have grown and developed deep cracks. These cracks are unpleasant and frequently bleed. Also, the skin is starting to peel off."
"My nails are starting to have small pits on them. I am worried and don't know what is causing it. Also, my joints pain and there are rashes on my arms and back.","'My nails are starting to have small dimples on them. I am worried and don't know what is causing it. Also, my joints pain and there are rashes on my arms and back.'"
"There is a silver like dusting on my skin. Moreover, the skin on my arms and back are starting to peel off. This is strange and really concerning me.","There is a shimmering on my skin. Moreover, the skin on my arms and back are starting to peel off. This is strange and really concerning me."
"My skin rash has extended to other areas of my body, including my chest and belly. It is irritating and unpleasant, and it is frequently worst at night. I'm also experiencing skin flaking.","My erythema has extended to other areas of my body, including my chest and belly. It is irritating and unpleasant, and it is frequently worst at night. I'm also experiencing skin flaking."
"My skin rash gets worse in the winter when the air is dry. To keep my skin moisturized, I have to moisturize more regularly and use humidifiers. I am also facing joint pain.","""My dermatitis gets worse in the winter when the air is dry. To keep my skin moisturized, I have to moisturize more regularly and use humidifiers. I am also facing joint pain."""
I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents. I am also experiencing skin peeling in different parts of my body.,I've had trouble sleeping because of the discomfort and pain. My nails have little dents. I am also experiencing skin peeling in different parts of my body.
"My skin is peeling in places, especially on my knees, elbows, and arms. This peeling is often accompanied by a painful or burning sensation. I am also developing small dents on my nails, which is really concerning.","My Desquamation is especially on my knees, elbows, and arms. This peeling is often accompanied by a painful or burning sensation. I am also developing small dents on my nails, which is really concerning."
"My skin has a silvery layer over it, especially on my back and arms. This dusting is made up of small scales that peel off readily when rubbed. Also, there are rashes all over my body.","My skin has a silver sheen over it, especially on my back and arms. This dusting is made up of small scales that peel off readily when rubbed. Also, there are rashes all over my body."
"My arms, face and back are all red and irritated. It is frequently irritating and unpleasant. My nails have a strange inflammation and have developed small dents. I have never seen anything like this.","My arms, face and back are all inflamed. It is frequently irritating and unpleasant. My nails have a strange inflammation and have developed small dents. I have never seen anything like this."
"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. Moreover, my joints pain everyday and I have no idea what is causing it.","I've had trouble sleeping because of the pruritus and pain produced by the rash. My nails have little dents, which is really alarming. Moreover, my joints pain everyday and I have no idea what is causing it."
My fingers and soles have pretty thick skin that is cracked severely. These fractures hurt and bleed frequently. The fractures are itchy and covered with scales.,My fingers and soles have pretty chapped skin that is severely cracked. These fractures hurt and bleed frequently. The fractures are itchy and covered with scales.
"My skin has changed from being less sensitive to being more sensitive. My skin has a silvery coating, especially on my back, elbows and knees.","My skin has changed from being numb to being more sensitive. My skin has a silvery coating, especially on my back, elbows and knees."
"My nails are slightly dented. Even my joints are now experiencing excruciating discomfort. My skin has a silver-like powder, especially on my back and elbows. ","""My nails are indented. Even my joints are now experiencing excruciating discomfort. My skin has a silver-like powder, especially on my back and elbows."""
"I've had trouble falling asleep because of the rash's pain and itching. The skin on my fingers are starting to peel off. My nails have a few tiny cracks, which is really worrying. ","I've had insomnia because of the rash's pain and itching. The skin on my fingers are starting to peel off. My nails have a few tiny cracks, which is really worrying."
"My joints are experiencing an unusual discomfort. Additionally, I've experienced weird skin peeling in various places on my body. I'm concerned that something is wrong with my body. ",My joint pain is accompanied by weird skin peeling in various places on my body. I'm concerned that something is wrong with my body.
"I am starting to have rashes on my arms and neck. The rash often bleeds and hurts when I scratch it. I have also developed small dents in my nails, which is very strange.","I am starting to have skin irritation on my arms and neck. The rash often bleeds and hurts when I scratch it. I have also developed small dents in my nails, which is very strange."
"Because of dry, flaky areas on my skin, I am prone to infections. My joints are in extreme pain . My knees and elbows' skin are starting to peel off.","Because of Eczema, I am prone to infections. My joints are in extreme pain. My knees and elbows' skin are starting to peel off."
"I have a rash on my legs that is causing a lot of discomforts. It seems there is a cramp and I can see prominent veins on the calf. Also, I have been feeling very tired and fatigued in the past couple of days.","I have a skin eruption on my legs that is causing a lot of discomforts. It seems there is a cramp and I can see prominent veins on the calf. Also, I have been feeling very tired and fatigued in the past couple of days."
"My calves have been cramping up when I walk or stand for long periods of time. There are bruise marks on my calves, which is making me worried. I feel tired very soon.","My calves have been experiencing leg cramps when I walk or stand for long periods of time. There are bruise marks on my calves, which is making me worried. I feel tired very soon."
"There is bruising on my legs that I cannot explain. I can see strange blood vessels below the skin. Also, I am slightly obese and I am really worried.","There is leg discoloration that I cannot explain. I can see strange blood vessels below the skin. Also, I am slightly obese and I am really worried."
I am overweight and have noticed that my legs are swollen and the blood vessels are visible. My legs have swollen and I can see a stream of swollen veins on my calves.,I am obese and have noticed that my legs are swollen and the blood vessels are visible. My legs have swollen and I can see a stream of swollen veins on my calves.
"The veins on my calves have become very prominent and causing discomfort. I can't stand for long periods of time, as it causes pain in my legs, similar to cramps.","The visible veins on my calves have become very prominent and causing discomfort. I can't stand for long periods of time, as it causes pain in my legs, similar to cramps."
The skin around the veins on my legs is red and inflamed. I believe I can see some of the swollen blood vessels. I am really worried about it.,The skin around the veins on my legs is showing signs of erythema. I believe I can see some of the swollen blood vessels. I am really worried about it.
Standing or walking for long periods of time causes a lot of pain in my legs. I get cramps upon doing physical activities. There are bruise marks on my legs too.,Leg pain. I get cramps upon doing physical activities. There are bruise marks on my legs too.
The cramps in my calves are making it difficult for me to walk. I feel fatigued after working for some time. I believe obesity is the reason behind this.,The leg cramps are making it difficult for me to walk. I feel fatigued after working for some time. I believe obesity is the reason behind this.
"The swelling in my legs has gotten worse over the past few weeks. Now, a large number of veins are noticeable on my calves, which is making me worried.","The edema in my legs has gotten worse over the past few weeks. Now, a large number of veins are noticeable on my calves, which is making me worried."
The veins on my legs are very noticeable and cause me discomfort. It seems like there is a major bruise and I get cramps when I run.,The prominent veins on my legs are very noticeable and cause me discomfort. It seems like there is a major bruise and I get cramps when I run.
The skin on my calves has become inflamed and red. My legs hurt if I try to run or do any physical activities.,The skin on my calves has developed Erythema. My legs hurt if I try to run or do any physical activities.
"Recently, the pain in my calves has been constant and becomes worse when I stand or walk for long periods of time. My legs have started to swell and also some blood vessels are quite noticeable.","Recently, the persistent discomfort in my calves has been increasing and becomes worse when I stand or walk for long periods of time. My legs have started to swell and also some blood vessels are quite noticeable."
The veins in my legs are causing discomfort and difficulty sleeping at night. I have no idea why it is happening. I get cramps when I sprint.,'The veins in my legs are causing leg pain and difficulty sleeping at night. I have no idea why it is happening. I get cramps when I sprint.'
