Original_text,Attack_text
"I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is red, itchy, and covered in dry, scaly patches.","I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. The rash is covered in dry, scaly patches, which are red, itchy, and causing discomfort."
"My skin has been peeling, especially on my knees, elbows, and scalp. This peeling is often accompanied by a burning or stinging sensation.","I have been experiencing a stinging sensation on my knees, elbows, and scalp. This stinging is often accompanied by skin peeling, especially in those areas."
"I have been experiencing joint pain in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints.","I have been experiencing joint pain in my knees. The pain is often achy and throbbing, and it gets worse when I move my joints. Additionally, I have noticed similar pain in my fingers and wrists."
"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them.","There are small scales on my skin that flake off easily when scratched, especially on my lower back and scalp. This dusting has a silver-like appearance."
"My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms.","My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. These symptoms are causing discomfort and impacting my daily activities. Additionally, there are minor rashes on my arms."
The skin on my palms and soles is thickened and has deep cracks. These cracks are painful and bleed easily.,"The cracks on my palms and soles bleed easily, causing significant pain and discomfort. The skin is also thickened with deep cracks that worsen the bleeding. Additionally, the cracks are persistent and do not seem to heal properly. Other symptoms include dryness, itching, and inflammation of the affected areas."
"The skin around my mouth, nose, and eyes is red and inflamed. It is often itchy and uncomfortable. There is a noticeable inflammation in my nails.","The inflammation in my nails is a significant concern, as they appear red and inflamed. This symptom is causing discomfort and requires immediate attention. The skin around my mouth, nose, and eyes is also red and inflamed, often causing itching and discomfort."
My skin is very sensitive and reacts easily to changes in temperature or humidity. I often have to be careful about what products I use on my skin.,"My skin is very sensitive and reacts easily to changes in humidity. I often have to be careful about what products I use on my skin. Additionally, I experience frequent breakouts, redness, and itching, especially in dry conditions. I also have a history of eczema, which tends to flare up during stressful periods."
"I have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back. Also, I face severe joint pain and skin rashes.","I have been experiencing severe joint pain, primarily in my arms, legs, and back. This pain has been debilitating and has significantly impacted my daily activities."
"The skin on my genitals is red and inflamed. It is often itchy, burning, and uncomfortable. There are rashes on different parts of the body too.","Clinical Note: The skin on my genitals is red and inflamed. It is often itchy, burning, and uncomfortable. There are rashes on different parts of the body too."
"I have experienced fatigue and a general feeling of malaise. I often feel tired and have a lack of energy, even after a good night's sleep.","I often feel tired and have a lack of energy, even after a good night's sleep. This tiredness is persistent and affects my daily activities, leading to a general feeling of malaise."
"The rash on my skin has spread to other parts of my body, including my chest and abdomen. It is itchy and uncomfortable, and it is often worse at night. I am also facing skin peeling.","The rash on my skin has spread to other parts of my body, including my chest and abdomen. It is itchy and uncomfortable, and it is often worse at night. This symptom of worsening at night is particularly bothersome for me. I am also facing skin peeling."
The rash on my skin is worse in the winter months when the air is dry. I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated.,"Increased need for moisturizing: The rash on my skin is worse in the winter months when the air is dry. I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated. Other symptoms include redness, itching, and flakiness."
